Date,Time,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
14 June 2008 (2008-06-14),18:00,Sweden , Spain,1,2,Group D,,Tivoli-Neu, Innsbruck,30772,2008
14 June 2008 (2008-06-14),20:45,Greece , Russia,0,1,Group D,,Stadion Wals-Siezenheim, Salzburg,31063,2008
18 June 2008 (2008-06-18),20:45,Greece , Spain,1,2,Group D,,Stadion Wals-Siezenheim, Salzburg,30883,2008
18 June 2008 (2008-06-18),20:45,Russia , Sweden,2,0,Group D,,Tivoli-Neu, Innsbruck,30772,2008
19 June 2008 (2008-06-19),20:45,Portugal , Germany,2,3,Quarter-finals,,St. Jakob-Park, Basel,39374,2008
20 June 2008 (2008-06-20),20:45,Croatia , Turkey,1,1,Quarter-finals, Turkey win on Penalities 1–3,Ernst-Happel-Stadion, Vienna,51428,2008
21 June 2008 (2008-06-21),20:45,Netherlands , Russia,1,3,Quarter-finals, Russia win after extra time ,St. Jakob-Park, Basel,38374,2008
22 June 2008 (2008-06-22),20:45,Spain , Italy,0,0,Quarter-finals,Spain  win on Penalities 4–2,Ernst-Happel-Stadion, Vienna,51178,2008
25 June 2008 (2008-06-25),20:45,Germany , Turkey,3,2,Semi-finals,,St. Jakob-Park, Basel,39374,2008
26 June 2008 (2008-06-26),20:45,Russia , Spain,0,3,Semi-finals,,Ernst-Happel-Stadion, Vienna,51428,2008
29 June 2008 (2008-06-29),20:45,Germany , Spain,0,1,Final,,Ernst-Happel-Stadion, Vienna,51428,2008
8 June 2012 (2012-06-08),18:00 CEST,Poland , Greece,1,1,Group A,,National Stadium, Warsaw,56070,2012
8 June 2012 (2012-06-08),20:45 CEST,Russia , Czech Republic,4,1,Group A,,Stadion Miejski, Wrocław,40803,2012
12 June 2012 (2012-06-12),18:00 CEST,Greece , Czech Republic,1,2,Group A,,Stadion Miejski, Wrocław,41105,2012
12 June 2012 (2012-06-12),20:45 CEST,Poland , Russia,1,1,Group A,,National Stadium, Warsaw,55920,2012
16 June 2012 (2012-06-16),20:45 CEST,Czech Republic , Poland,1,0,Group A,,Stadion Miejski, Wrocław,41480,2012
16 June 2012 (2012-06-16),20:45 CEST,Greece , Russia,1,0,Group A,,National Stadium, Warsaw,55614,2012
9 June 2012 (2012-06-09),19:00 EEST,Netherlands , Denmark,0,1,Group B,,Metalist Stadium, Kharkiv,35923,2012
9 June 2012 (2012-06-09),21:45 EEST,Germany , Portugal,1,0,Group B,,Arena Lviv, Lviv,32990,2012
13 June 2012 (2012-06-13),19:00 EEST,Denmark , Portugal,2,3,Group B,,Arena Lviv, Lviv,31840,2012
13 June 2012 (2012-06-13),21:45 EEST,Netherlands , Germany,1,2,Group B,,Metalist Stadium, Kharkiv,37750,2012
17 June 2012 (2012-06-17),21:45 EEST,Portugal , Netherlands,2,1,Group B,,Metalist Stadium, Kharkiv,37445,2012
17 June 2012 (2012-06-17),21:45 EEST,Denmark , Germany,1,2,Group B,,Arena Lviv, Lviv,32990,2012
10 June 2012 (2012-06-10),18:00 CEST,Spain , Italy,1,1,Group C,,PGE Arena, Gdańsk,38869,2012
10 June 2012 (2012-06-10),20:45 CEST,Republic of Ireland , Croatia,1,3,Group C,,Stadion Miejski, Poznań,39550,2012
14 June 2012 (2012-06-14),18:00 CEST,Italy , Croatia,1,1,Group C,,Stadion Miejski, Poznań,37096,2012
14 June 2012 (2012-06-14),20:45 CEST,Spain , Republic of Ireland,4,0,Group C,,PGE Arena, Gdańsk,39150,2012
18 June 2012 (2012-06-18),20:45 CEST,Croatia , Spain,0,1,Group C,,PGE Arena, Gdańsk,39076,2012
18 June 2012 (2012-06-18),20:45 CEST,Italy , Republic of Ireland,2,0,Group C,,Stadion Miejski, Poznań,38794,2012
11 June 2012 (2012-06-11),19:00 EEST,France , England,1,1,Group D,,Donbass Arena, Donetsk,47400,2012
11 June 2012 (2012-06-11),21:45 EEST,Ukraine , Sweden,2,1,Group D,,Olympic Stadium, Kiev,64290,2012
15 June 2012 (2012-06-15),19:00 EEST,Ukraine , France,0,2,Group D,,Donbass Arena, Donetsk,48000,2012
15 June 2012 (2012-06-15),22:00 EEST[note 1],Sweden , England,2,3,Group D,,Olympic Stadium, Kiev,64640,2012
19 June 2012 (2012-06-19),21:45 EEST,England , Ukraine,1,0,Group D,,Donbass Arena, Donetsk,48700,2012
19 June 2012 (2012-06-19),21:45 EEST,Sweden , France,2,0,Group D,,Olympic Stadium, Kiev,63010,2012
21 June 2012 (2012-06-21),20:45 CEST,Czech Republic , Portugal,0,1,Quarter-finals,,National Stadium, Warsaw,55590,2012
22 June 2012 (2012-06-22),20:45 CEST,Germany , Greece,4,2,Quarter-finals,,PGE Arena, Gdańsk,38751,2012
23 June 2012 (2012-06-23),21:45 EEST,Spain , France,2,0,Quarter-finals,,Donbass Arena, Donetsk,47000,2012
24 June 2012 (2012-06-24),21:45 EEST,England , Italy,0,0,Quarter-finals, Italy win on Penalities 2–4,Olympic Stadium, Kiev,64340,2012
27 June 2012 (2012-06-27),21:45 EEST,Portugal , Spain,0,0,Semi-finals, Spain win on Penalities 2–4,Donbass Arena, Donetsk,48000,2012
28 June 2012 (2012-06-28),20:45 CEST,Germany , Italy,1,2,Semi-finals,,National Stadium, Warsaw,55540,2012
1 July 2012 (2012-07-01),21:45 EEST,Spain , Italy,4,0,Final,,Olympic Stadium, Kiev,63170,2012
10 June 2016 (2016-06-10),21:00,France , Romania,2,1,Group A,,Stade de France, Saint-Denis,75113,2016
11 June 2016 (2016-06-11),15:00,Albania ,  Switzerland,0,1,Group A,,Stade Bollaert-Delelis, Lens,33805,2016
15 June 2016 (2016-06-15),18:00,Romania ,  Switzerland,1,1,Group A,,Parc des Princes, Paris,43576,2016
15 June 2016 (2016-06-15),21:00,France , Albania,2,0,Group A,,Stade Vélodrome, Marseille,63670,2016
19 June 2016 (2016-06-19),21:00,Romania , Albania,0,1,Group A,,Parc Olympique Lyonnais, Décines-Charpieu,49752,2016
19 June 2016 (2016-06-19),21:00,Switzerland  , France,0,0,Group A,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,45616,2016
11 June 2016 (2016-06-11),18:00,Wales , Slovakia,2,1,Group B,,Nouveau Stade de Bordeaux, Bordeaux,37831,2016
11 June 2016 (2016-06-11),21:00,England , Russia,1,1,Group B,,Stade Vélodrome, Marseille,62343,2016
15 June 2016 (2016-06-15),15:00,Russia , Slovakia,1,2,Group B,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,38989,2016
16 June 2016 (2016-06-16),15:00,England , Wales,2,1,Group B,,Stade Bollaert-Delelis, Lens,34033,2016
20 June 2016 (2016-06-20),21:00,Russia , Wales,0,3,Group B,,Stadium Municipal, Toulouse,28840,2016
20 June 2016 (2016-06-20),21:00,Slovakia , England,0,0,Group B,,Stade Geoffroy-Guichard, Saint-Étienne,39051,2016
12 June 2016 (2016-06-12),18:00,Poland , Northern Ireland,1,0,Group C,,Stade de Nice, Nice,33742,2016
12 June 2016 (2016-06-12),21:00,Germany , Ukraine,2,0,Group C,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,43035,2016
16 June 2016 (2016-06-16),18:00,Ukraine , Northern Ireland,0,2,Group C,,Parc Olympique Lyonnais, Décines-Charpieu,51043,2016
16 June 2016 (2016-06-16),21:00,Germany , Poland,0,0,Group C,,Stade de France, Saint-Denis,73648,2016
21 June 2016 (2016-06-21),18:00,Ukraine , Poland,0,1,Group C,,Stade Vélodrome, Marseille,58874,2016
21 June 2016 (2016-06-21),18:00,Northern Ireland , Germany,0,1,Group C,,Parc des Princes, Paris,44125,2016
12 June 2016 (2016-06-12),15:00,Turkey , Croatia,0,1,Group D,,Parc des Princes, Paris,43842,2016
13 June 2016 (2016-06-13),15:00,Spain , Czech Republic,1,0,Group D,,Stadium Municipal, Toulouse,29400,2016
17 June 2016 (2016-06-17),18:00,Czech Republic , Croatia,2,2,Group D,,Stade Geoffroy-Guichard, Saint-Étienne,38376,2016
17 June 2016 (2016-06-17),21:00,Spain , Turkey,3,0,Group D,,Stade de Nice, Nice,33409,2016
